Word,Definition
De-pres-sion,A period of economic or emotional downturn. There was a Great Depression in the US and several other countries.
Com-mence,To begin or start something. You commence the year with a new goal or resolution.
Pro-voke,"To cause someone to react or become angry. You provoke someone when you tease or bother them. Provokes, provoked, provoking."
To-ler-ate,"To allow or endure something. I will tolerate only kind behavior. I will not tolerate bullying in this classroom. If you don’t follow our class rules, you will be testing my tolerance."
Ter-rif-ied,"Really, really scared. If I saw a vampire bat, I would be terrified. The bat would terrify me. Terrify, terrifies, terrified, terrifying."
Re-venge,"Getting back at someone because he or she did something bad to you. If your sister was mean to you and you played a trick on her, you would be getting revenge. Revenge is an antonym for forgiveness."
Rid-ing the rails,A phrase that means jumping on trains and riding in empty cars. People sometimes run along the side when a train is going slowly and then jump on.
Card-board jun-gle,A place where hobos go to hide out when they get off trains. It’s called a cardboard jungle because many hobos use cardboard boxes as homes.
